38.178,48.922,-129.997,635.616,8.535,9.113,32.451,-1.451,-5.263,NaN,294.228,0.984,1052.212,1.038,350.666,97.276,1064.451,1.038,NaN,1915.000
38.179,48.922,-130.006,636.334,8.527,9.115,32.455,-1.538,-5.566,NaN,294.475,0.984,1055.620,1.042,350.993,97.371,1067.870,1.042,NaN,1916.000
38.181,48.923,-130.016,637.059,8.522,9.113,32.457,-1.603,-5.461,NaN,294.865,0.986,1055.982,1.043,351.485,97.498,1068.240,1.043,NaN,1917.000
38.182,48.925,-130.025,637.783,8.511,9.105,32.459,-1.630,-5.900,NaN,295.103,0.986,1060.503,1.048,351.785,97.565,1072.767,1.048,NaN,1918.000
38.183,48.925,-130.035,638.481,8.510,9.099,32.460,-1.724,-5.423,NaN,296.113,0.989,1059.844,1.046,353.032,97.877,1072.112,1.046,NaN,1919.000
38.185,48.925,-130.044,639.197,8.497,9.091,32.458,-1.690,-5.362,NaN,296.375,0.990,1059.922,1.046,353.344,97.960,1072.191,1.046,NaN,1920.000
38.186,48.926,-130.054,639.921,8.491,9.082,32.453,-1.613,-4.881,NaN,296.579,0.991,1056.194,1.041,353.608,98.003,1068.462,1.041,NaN,1921.000
38.188,48.927,-130.063,640.601,8.482,9.072,32.448,-1.488,-4.859,NaN,296.426,0.990,1055.222,1.040,353.416,97.934,1067.486,1.040,NaN,1922.000
38.189,48.927,-130.072,641.320,8.474,9.062,32.444,-1.467,-5.194,NaN,296.277,0.989,1057.431,1.043,353.232,97.865,1069.691,1.043,NaN,1923.000
38.190,48.928,-130.082,642.041,8.466,9.053,32.441,-1.457,-5.038,NaN,296.512,0.990,1056.684,1.042,353.536,97.910,1068.938,1.042,NaN,1924.000
38.192,48.928,-130.091,642.742,8.460,9.045,32.439,-1.460,-4.894,NaN,296.402,0.989,1054.851,1.040,353.371,97.855,1067.097,1.040,NaN,1925.000
38.193,48.929,-130.101,643.459,8.456,9.038,32.439,-1.524,-4.993,NaN,296.139,0.988,1054.716,1.040,353.043,97.759,1066.954,1.040,NaN,1926.000
38.194,48.930,-130.111,644.191,8.452,9.034,32.440,-1.533,-4.961,NaN,296.090,0.988,1054.169,1.040,352.988,97.722,1066.398,1.040,NaN,1927.000
38.196,48.931,-130.120,644.890,8.448,9.029,32.442,-1.534,-4.917,NaN,295.906,0.987,1053.031,1.038,352.763,97.669,1065.250,1.038,NaN,1928.000
38.197,48.931,-130.129,645.607,8.447,9.026,32.445,-1.546,-4.909,NaN,295.817,0.987,1052.653,1.038,352.656,97.631,1064.863,1.038,NaN,1929.000
38.199,48.932,-130.139,646.344,8.446,9.023,32.448,-1.591,-5.649,NaN,295.748,0.987,1058.965,1.046,352.571,97.607,1071.164,1.046,NaN,1930.000
38.200,48.933,-130.149,647.084,8.450,9.022,32.452,-1.599,-4.186,NaN,296.689,0.990,1049.497,1.033,353.741,97.822,1061.685,1.033,NaN,1931.000
38.201,48.933,-130.156,647.658,8.447,9.020,32.456,-1.597,-3.808,NaN,296.010,0.988,1043.784,1.027,352.927,97.628,1055.962,1.027,NaN,1932.000
38.203,48.934,-130.160,647.986,8.443,9.016,32.460,-1.539,-3.551,NaN,295.192,0.985,1038.648,1.021,351.919,97.367,1050.815,1.021,NaN,1933.000
38.204,48.934,-130.164,648.232,8.439,9.010,32.463,-1.496,-3.738,NaN,294.499,0.982,1037.743,1.021,351.049,97.138,1049.900,1.021,NaN,1934.000
38.206,48.934,-130.165,648.325,8.439,9.006,32.465,-1.496,-3.974,NaN,294.225,0.982,1038.790,1.022,350.687,97.040,1050.938,1.022,NaN,1935.000
38.207,48.934,-130.165,648.325,8.441,9.007,32.466,-1.460,-3.752,NaN,294.177,0.981,1036.764,1.020,350.633,97.029,1048.902,1.020,NaN,1936.000
38.208,48.934,-130.165,648.347,8.447,9.012,32.467,-1.421,-3.296,NaN,294.195,0.982,1033.084,1.015,350.678,97.029,1045.213,1.015,NaN,1937.000
38.210,48.934,-130.164,648.404,8.448,9.015,32.468,-1.424,-2.881,NaN,293.711,0.980,1027.926,1.009,350.096,96.885,1040.047,1.009,NaN,1938.000
38.211,48.934,-130.164,648.442,8.452,9.020,32.468,-1.419,-2.758,NaN,293.068,0.978,1024.723,1.006,349.296,96.683,1036.838,1.006,NaN,1939.000
38.213,48.934,-130.164,648.463,8.457,9.028,32.468,-1.339,-2.679,NaN,292.526,0.976,1022.307,1.003,348.630,96.519,1034.417,1.003,NaN,1940.000
38.214,48.934,-130.164,648.500,8.456,9.028,32.469,-1.379,-3.003,NaN,292.171,0.975,1023.753,1.005,348.162,96.403,1035.860,1.005,NaN,1941.000
38.215,48.934,-130.165,648.550,8.452,9.025,32.469,-1.439,-2.988,NaN,292.146,0.975,1023.445,1.005,348.095,96.383,1035.549,1.005,NaN,1942.000
38.217,48.934,-130.165,648.579,8.449,9.024,32.469,-1.503,-2.914,NaN,292.177,0.975,1022.854,1.004,348.117,96.383,1034.957,1.004,NaN,1943.000
38.218,48.933,-130.164,648.667,8.449,9.025,32.469,-1.570,-2.928,NaN,292.061,0.974,1022.568,1.004,347.970,96.349,1034.670,1.004,NaN,1944.000
38.219,48.933,-130.164,648.693,8.453,9.028,32.469,-1.696,-2.862,NaN,291.981,0.974,1021.824,1.003,347.871,96.324,1033.925,1.003,NaN,1945.000
38.221,48.933,-130.163,648.744,8.454,9.031,32.470,-1.734,-2.788,NaN,291.841,0.974,1020.744,1.002,347.694,96.289,1032.846,1.002,NaN,1946.000
38.222,48.933,-130.163,648.892,8.455,9.032,32.470,-1.675,-2.617,NaN,291.828,0.974,1019.304,1.000,347.667,96.280,1031.407,1.000,NaN,1947.000
38.224,48.933,-130.163,649.004,8.456,9.033,32.470,-1.702,-2.681,NaN,291.630,0.973,1019.181,1.000,347.410,96.220,1031.286,1.000,NaN,1948.000
38.225,48.933,-130.162,649.035,8.457,9.034,32.470,-1.722,-2.658,NaN,291.569,0.973,1018.796,1.000,347.325,96.200,1030.902,1.000,NaN,1949.000
38.226,48.933,-130.162,649.035,8.457,9.035,32.470,NaN,-2.683,NaN,291.525,0.973,1018.846,1.000,347.282,96.186,1030.955,1.000,NaN,1950.000
38.228,48.933,-130.162,649.041,8.457,9.035,32.470,NaN,-2.456,NaN,291.485,0.973,1016.844,0.997,347.232,96.173,1028.955,0.997,NaN,1951.000
38.229,48.933,-130.162,649.100,8.456,9.033,32.470,-1.921,-2.432,NaN,291.309,0.972,1016.019,0.996,347.011,96.108,1028.133,0.996,NaN,1952.000
38.231,48.933,-130.162,649.114,8.455,9.029,32.471,-1.949,-2.518,NaN,291.109,0.971,1016.007,0.996,346.762,96.028,1028.124,0.996,NaN,1953.000
38.232,48.933,-130.162,649.114,8.453,9.023,32.471,-2.006,-2.542,NaN,290.998,0.971,1015.773,0.996,346.637,95.979,1027.895,0.996,NaN,1954.000
38.233,48.933,-130.161,649.177,8.449,9.017,32.471,-1.986,-2.540,NaN,290.936,0.971,1015.451,0.996,346.554,95.942,1027.579,0.996,NaN,1955.000
38.235,48.933,-130.161,649.239,8.447,9.013,32.471,-1.998,-2.602,NaN,290.812,0.970,1015.481,0.996,346.406,95.891,1027.615,0.996,NaN,1956.000
38.236,48.933,-130.161,649.254,8.444,9.009,32.471,-1.997,-2.648,NaN,290.677,0.970,1015.330,0.996,346.251,95.841,1027.473,0.996,NaN,1957.000
38.238,48.933,-130.161,649.312,8.443,9.010,32.472,-1.997,-2.632,NaN,290.530,0.969,1014.656,0.995,346.114,95.798,1026.809,0.995,NaN,1958.000
38.239,48.933,-130.161,649.332,8.441,9.011,32.472,-1.983,-2.720,NaN,290.391,0.969,1014.850,0.996,345.983,95.755,1027.014,0.996,NaN,1959.000
38.240,48.933,-130.160,649.435,8.438,9.011,32.472,-2.018,-2.791,NaN,290.212,0.968,1014.738,0.996,345.792,95.704,1026.915,0.996,NaN,1960.000
38.242,48.932,-130.160,649.460,8.435,9.010,32.472,-2.074,-2.714,NaN,290.043,0.967,1013.445,0.994,345.604,95.644,1025.635,0.994,NaN,1961.000
38.243,48.932,-130.160,649.495,8.432,9.009,32.473,-2.174,-2.693,NaN,289.799,0.967,1012.381,0.993,345.324,95.561,1024.584,0.993,NaN,1962.000
38.244,48.932,-130.159,649.547,8.432,9.008,32.473,-2.188,-2.855,NaN,289.511,0.966,1012.704,0.994,344.976,95.469,1024.920,0.994,NaN,1963.000
38.246,48.932,-130.159,649.577,8.432,9.008,32.473,-2.178,-2.862,NaN,289.507,0.966,1012.737,0.994,344.976,95.462,1024.966,0.994,NaN,1964.000
38.247,48.932,-130.159,649.650,8.430,9.007,32.473,-2.199,-2.899,NaN,289.496,0.965,1012.969,0.994,344.972,95.462,1025.211,0.994,NaN,1965.000
38.249,48.932,-130.159,649.665,8.428,9.006,32.473,-2.154,-2.657,NaN,289.529,0.965,1011.041,0.992,345.029,95.470,1023.295,0.992,NaN,1966.000
38.250,48.932,-130.158,649.695,8.426,9.005,32.473,-2.206,-2.619,NaN,289.402,0.965,1010.222,0.991,344.891,95.426,1022.488,0.991,NaN,1967.000
38.251,48.932,-130.158,649.695,8.425,9.005,32.473,-2.179,-2.633,NaN,289.181,0.964,1009.556,0.990,344.633,95.352,1021.833,0.990,NaN,1968.000
38.253,48.932,-130.158,649.709,8.424,9.004,32.474,-2.144,-2.781,NaN,289.025,0.964,1010.216,0.991,344.446,95.298,1022.504,0.991,NaN,1969.000
38.254,48.932,-130.158,649.772,8.424,9.006,32.474,-2.087,-2.848,NaN,288.964,0.964,1010.556,0.992,344.374,95.283,1022.854,0.992,NaN,1970.000
38.256,48.932,-130.158,649.829,8.423,9.009,32.475,-2.076,-2.723,NaN,289.002,0.964,1009.644,0.991,344.424,95.302,1021.950,0.991,NaN,1971.000
38.257,48.932,-130.158,649.845,8.423,9.013,32.475,-2.113,-2.641,NaN,288.882,0.963,1008.540,0.989,344.286,95.270,1020.855,0.989,NaN,1972.000
38.258,48.932,-130.157,649.874,8.423,9.015,32.475,-2.186,-2.659,NaN,288.695,0.963,1008.035,0.989,344.052,95.215,1020.358,0.989,NaN,1973.000
38.260,48.931,-130.157,649.899,8.422,9.015,32.476,-2.149,-2.857,NaN,288.608,0.962,1009.334,0.991,343.919,95.190,1021.663,0.991,NaN,1974.000
38.261,48.931,-130.157,649.972,8.422,9.016,32.476,-2.173,-2.621,NaN,288.714,0.963,1007.782,0.989,344.026,95.220,1020.115,0.989,NaN,1975.000
38.262,48.932,-130.157,650.238,8.423,9.017,32.476,-2.201,-2.604,NaN,288.629,0.962,1007.359,0.988,343.913,95.194,1019.696,0.988,NaN,1976.000
38.264,48.933,-130.165,650.855,8.424,9.019,32.478,-2.176,-2.716,NaN,288.595,0.962,1008.190,0.989,343.856,95.180,1020.528,0.989,NaN,1977.000
38.265,48.934,-130.174,651.558,8.428,9.021,32.485,-2.258,-2.718,NaN,288.625,0.963,1008.447,0.989,343.896,95.189,1020.784,0.989,NaN,1978.000
38.267,48.934,-130.183,652.266,8.421,9.017,32.493,-2.300,-3.313,NaN,288.494,0.962,1012.823,0.995,343.762,95.157,1025.158,0.995,NaN,1979.000
38.268,48.935,-130.192,652.940,8.413,9.010,32.495,-2.310,-2.962,NaN,288.925,0.963,1011.234,0.993,344.287,95.283,1023.564,0.993,NaN,1980.000
38.269,48.935,-130.201,653.609,8.411,9.002,32.494,-2.244,-2.657,NaN,289.192,0.964,1009.613,0.990,344.604,95.348,1021.937,0.990,NaN,1981.000
38.271,48.936,-130.210,654.301,8.412,8.998,32.492,-2.284,-2.811,NaN,288.880,0.963,1009.813,0.991,344.222,95.230,1022.130,0.991,NaN,1982.000
38.272,48.936,-130.220,654.998,8.416,8.997,32.490,-2.299,-3.062,NaN,288.716,0.963,1011.397,0.993,344.017,95.180,1023.706,0.993,NaN,1983.000
38.274,48.937,-130.229,655.662,8.421,9.000,32.487,-2.319,-3.585,NaN,288.725,0.963,1015.872,0.999,344.038,95.187,1028.173,0.999,NaN,1984.000
38.275,48.937,-130.238,656.346,8.432,9.004,32.485,-2.369,-3.723,NaN,289.116,0.964,1018.634,1.002,344.515,95.327,1030.927,1.002,NaN,1985.000
38.276,48.938,-130.247,657.036,8.438,9.006,32.486,-2.342,-3.630,NaN,289.852,0.967,1020.577,1.003,345.443,95.586,1032.863,1.003,NaN,1986.000
38.278,48.938,-130.256,657.716,8.435,9.005,32.489,-2.263,-3.670,NaN,290.459,0.969,1023.008,1.006,346.208,95.790,1035.289,1.006,NaN,1987.000
38.279,48.939,-130.265,658.383,8.437,9.004,32.489,-2.169,-3.612,NaN,290.921,0.970,1024.186,1.007,346.762,95.943,1036.463,1.007,NaN,1988.000
38.281,48.940,-130.274,659.072,8.435,9.005,32.489,-2.163,-3.590,NaN,291.203,0.971,1024.945,1.007,347.098,96.023,1037.221,1.007,NaN,1989.000
38.282,48.940,-130.283,659.767,8.434,9.004,32.493,-2.166,-3.805,NaN,291.165,0.971,1026.647,1.010,347.058,96.028,1038.924,1.010,NaN,1990.000
38.283,48.941,-130.292,660.440,8.421,8.999,32.505,-2.206,-3.988,NaN,291.248,0.971,1028.274,1.012,347.206,96.053,1040.553,1.012,NaN,1991.000
38.285,48.941,-130.302,661.141,8.415,8.992,32.516,-2.281,-4.193,NaN,291.138,0.971,1029.573,1.013,347.093,96.004,1041.855,1.013,NaN,1992.000
38.286,48.941,-130.311,661.853,8.409,8.987,32.522,-2.390,-4.205,NaN,290.940,0.970,1028.878,1.013,346.875,95.933,1041.164,1.013,NaN,1993.000
38.287,48.942,-130.320,662.542,8.397,8.978,32.524,-2.525,-4.254,NaN,290.599,0.969,1027.827,1.012,346.467,95.802,1040.117,1.012,NaN,1994.000
38.289,48.943,-130.330,663.238,8.385,8.967,32.525,NaN,-4.396,NaN,290.216,0.967,1027.432,1.012,345.989,95.657,1039.727,1.012,NaN,1995.000
38.290,48.943,-130.339,663.956,8.378,8.960,32.527,NaN,-4.499,NaN,290.086,0.967,1027.704,1.012,345.829,95.597,1040.003,1.012,NaN,1996.000
38.292,48.944,-130.348,664.653,8.377,8.958,32.531,-2.636,-4.703,NaN,289.984,0.966,1029.117,1.014,345.688,95.556,1041.422,1.014,NaN,1997.000
38.293,48.944,-130.358,665.342,8.382,8.961,32.536,-2.719,-4.687,NaN,289.869,0.966,1028.726,1.014,345.568,95.526,1041.037,1.014,NaN,1998.000
38.294,48.944,-130.367,666.038,8.376,8.960,32.540,-2.929,-4.806,NaN,289.391,0.964,1027.942,1.013,344.996,95.363,1040.261,1.013,NaN,1999.000
38.296,48.945,-130.377,666.763,8.375,8.960,32.543,-3.201,-5.101,NaN,288.823,0.962,1028.470,1.014,344.306,95.177,1040.795,1.014,NaN,2000.000
38.297,48.946,-130.386,667.496,8.378,8.963,32.544,-3.227,-5.826,NaN,288.673,0.962,1034.341,1.021,344.090,95.124,1046.672,1.021,NaN,2001.000
38.299,48.946,-130.395,668.182,8.384,8.975,32.542,-3.255,-5.853,NaN,289.232,0.964,1036.693,1.024,344.823,95.345,1049.028,1.024,NaN,2002.000
38.300,48.947,-130.405,668.880,8.406,8.989,32.538,-3.055,-5.700,NaN,290.078,0.967,1038.856,1.026,345.789,95.655,1051.196,1.026,NaN,2003.000
38.301,48.948,-130.410,669.311,8.420,9.010,32.532,-2.925,-5.818,NaN,290.765,0.970,1042.626,1.030,346.602,95.927,1054.970,1.030,NaN,2004.000
38.303,48.949,-130.425,670.393,8.442,9.027,32.527,-2.836,-5.749,NaN,291.343,0.972,1044.564,1.031,347.287,96.161,1056.909,1.031,NaN,2005.000
38.304,48.950,-130.432,670.994,8.465,9.047,32.526,-2.736,-5.499,NaN,292.078,0.975,1045.518,1.032,348.181,96.443,1057.861,1.032,NaN,2006.000
38.306,48.951,-130.442,671.720,8.467,9.059,32.527,-2.653,-5.402,NaN,292.237,0.976,1045.283,1.031,348.393,96.536,1057.622,1.031,NaN,2007.000
38.307,48.952,-130.451,672.445,8.466,9.063,32.528,-2.607,-5.175,NaN,292.415,0.976,1043.913,1.030,348.614,96.597,1056.244,1.030,NaN,2008.000
38.308,48.953,-130.461,673.155,8.461,9.062,32.527,-2.640,-5.226,NaN,292.370,0.976,1044.115,1.030,348.553,96.579,1056.435,1.030,NaN,2009.000
38.310,48.953,-130.471,673.896,8.458,9.059,32.524,-2.672,-5.825,NaN,292.179,0.975,1048.645,1.036,348.307,96.513,1060.950,1.036,NaN,2010.000
38.311,48.954,-130.480,674.628,8.459,9.056,32.522,-2.689,-6.045,NaN,292.741,0.977,1052.641,1.040,348.991,96.693,1064.928,1.040,NaN,2011.000
38.313,48.955,-130.489,675.307,8.463,9.053,32.521,-2.696,-6.190,NaN,293.338,0.979,1056.174,1.044,349.724,96.889,1068.441,1.044,NaN,2012.000
38.314,48.956,-130.499,676.051,8.465,9.049,32.521,-2.700,-9.506,NaN,294.086,0.982,1089.848,1.085,350.662,97.132,1102.094,1.085,NaN,2013.000
38.315,48.957,-130.508,676.736,8.465,9.042,32.521,-2.709,-7.567,NaN,298.457,0.996,1087.317,1.078,356.190,98.281,1099.540,1.078,NaN,2014.000
38.317,48.958,-130.517,677.468,8.457,9.034,32.525,-2.791,-5.750,NaN,299.143,0.998,1072.847,1.059,357.025,98.555,1085.048,1.059,NaN,2015.000
38.318,48.959,-130.527,678.180,8.444,9.027,32.527,-2.807,-5.651,NaN,296.844,0.991,1063.485,1.050,354.172,97.884,1075.665,1.050,NaN,2016.000
38.319,48.960,-130.536,678.909,8.434,9.020,32.528,-2.860,-5.884,NaN,295.141,0.985,1059.263,1.046,352.055,97.361,1071.422,1.046,NaN,2017.000
38.321,48.961,-130.546,679.634,8.430,9.017,32.524,-2.805,-6.109,NaN,294.536,0.983,1059.006,1.046,351.256,97.175,1071.143,1.046,NaN,2018.000
38.322,48.961,-130.555,680.336,8.461,9.034,32.507,-2.585,-5.305,NaN,295.234,0.985,1054.907,1.041,351.976,97.446,1067.022,1.041,NaN,2019.000
38.324,48.962,-130.564,681.038,8.505,9.065,32.490,-2.334,-4.828,NaN,295.389,0.987,1052.139,1.037,352.106,97.565,1064.234,1.037,NaN,2020.000
38.325,48.963,-130.574,681.775,8.514,9.081,32.482,-2.166,-4.511,NaN,295.164,0.986,1048.700,1.033,351.779,97.515,1060.776,1.033,NaN,2021.000
38.326,48.964,-130.584,682.524,8.513,9.084,32.477,-2.115,-4.307,NaN,294.808,0.985,1045.618,1.029,351.325,97.406,1057.677,1.029,NaN,2022.000
38.328,48.965,-130.593,683.255,8.515,9.085,32.472,-2.099,-4.184,NaN,294.272,0.983,1042.664,1.026,350.641,97.226,1054.709,1.026,NaN,2023.000
38.329,48.965,-130.603,683.989,8.532,9.096,32.461,-1.908,-3.843,NaN,294.066,0.983,1039.294,1.022,350.326,97.172,1051.324,1.022,NaN,2024.000
38.331,48.966,-130.613,684.712,8.584,9.130,32.448,-1.685,-3.598,NaN,294.024,0.984,1038.142,1.020,350.195,97.220,1050.160,1.020,NaN,2025.000
38.332,48.967,-130.622,685.456,8.634,9.174,32.435,-1.454,-3.463,NaN,294.158,0.985,1038.533,1.020,350.305,97.351,1050.543,1.020,NaN,2026.000
38.333,48.967,-130.632,686.181,8.670,9.212,32.427,-1.145,-3.491,NaN,294.441,0.987,1040.546,1.023,350.617,97.525,1052.551,1.023,NaN,2027.000
38.335,48.968,-130.641,686.868,8.697,9.244,32.422,-0.941,-3.434,NaN,294.747,0.988,1041.717,1.024,350.975,97.698,1053.721,1.024,NaN,2028.000
38.336,48.968,-130.649,687.465,8.716,9.268,32.421,-0.935,-2.949,NaN,295.120,0.990,1039.307,1.020,351.433,97.874,1051.314,1.020,NaN,2029.000
38.338,48.968,-130.656,687.975,8.726,9.285,32.419,-1.015,-2.637,NaN,295.174,0.990,1037.068,1.017,351.544,97.934,1049.081,1.017,NaN,2030.000
38.339,48.968,-130.661,688.352,8.727,9.294,32.416,-0.922,-2.624,NaN,294.974,0.990,1036.257,1.016,351.318,97.888,1048.279,1.016,NaN,2031.000
38.340,48.969,-130.666,688.775,8.722,9.296,32.413,-0.930,-3.001,NaN,294.901,0.989,1039.057,1.020,351.255,97.875,1051.091,1.020,NaN,2032.000
38.342,48.970,-130.666,688.900,8.716,9.296,32.410,-0.888,-2.683,NaN,295.332,0.991,1037.718,1.018,351.798,98.014,1049.764,1.018,NaN,2033.000
38.343,48.970,-130.666,688.971,8.714,9.295,32.409,-0.790,-2.448,NaN,295.367,0.991,1035.787,1.016,351.841,98.028,1047.846,1.016,NaN,2034.000
38.344,48.970,-130.666,689.037,8.712,9.296,32.408,-0.740,-2.203,NaN,295.260,0.990,1033.327,1.013,351.710,97.994,1045.398,1.013,NaN,2035.000
38.346,48.970,-130.666,689.049,8.713,9.298,32.407,-0.717,-2.275,NaN,294.964,0.989,1032.916,1.012,351.349,97.899,1045.000,1.012,NaN,2036.000
38.347,48.970,-130.666,689.049,8.715,9.301,32.407,-0.703,-2.172,NaN,294.837,0.989,1031.635,1.011,351.194,97.859,1043.729,1.011,NaN,2037.000
38.349,48.970,-130.666,689.071,8.715,9.303,32.407,-0.728,-1.977,NaN,294.750,0.989,1029.712,1.009,351.089,97.833,1041.816,1.009,NaN,2038.000
38.350,48.970,-130.666,689.085,8.713,9.304,32.407,-0.703,-1.910,NaN,294.600,0.988,1028.575,1.007,350.912,97.782,1040.690,1.007,NaN,2039.000
38.351,48.970,-130.666,689.108,8.711,9.302,32.407,NaN,-1.956,NaN,294.364,0.987,1028.085,1.007,350.617,97.704,1040.209,1.007,NaN,2040.000
38.353,48.971,-130.666,689.145,8.711,9.299,32.407,NaN,-1.778,NaN,294.244,0.987,1026.192,1.005,350.464,97.658,1038.324,1.005,NaN,2041.000
38.354,48.970,-130.667,689.229,8.711,9.297,32.407,-0.420,-1.647,NaN,294.166,0.987,1024.845,1.003,350.364,97.618,1036.984,1.003,NaN,2042.000
38.356,48.970,-130.667,689.421,8.713,9.296,32.407,-0.466,-1.622,NaN,293.883,0.986,1023.696,1.002,350.032,97.518,1035.841,1.002,NaN,2043.000
38.357,48.970,-130.667,689.498,8.713,9.294,32.407,-0.661,-1.606,NaN,293.693,0.985,1022.914,1.001,349.813,97.456,1035.064,1.001,NaN,2044.000
38.358,48.970,-130.668,689.535,8.711,9.292,32.407,-0.760,-1.723,NaN,293.547,0.985,1023.313,1.002,349.658,97.408,1035.469,1.002,NaN,2045.000
38.360,48.970,-130.668,689.549,8.712,9.291,32.407,-0.768,-1.628,NaN,293.544,0.985,1022.547,1.001,349.663,97.402,1034.709,1.001,NaN,2046.000
38.361,48.971,-130.668,689.630,8.713,9.290,32.407,-0.795,-1.580,NaN,293.496,0.985,1021.998,1.000,349.614,97.383,1034.163,1.000,NaN,2047.000
38.363,48.971,-130.668,689.685,8.713,9.289,32.407,-0.782,-1.580,NaN,293.388,0.984,1021.625,1.000,349.484,97.347,1033.794,1.000,NaN,2048.000
38.364,48.971,-130.668,689.781,8.712,9.289,32.407,-0.844,-1.575,NaN,293.312,0.984,1021.318,1.000,349.396,97.318,1033.489,1.000,NaN,2049.000
38.365,48.971,-130.667,689.810,8.712,9.288,32.407,-0.942,-1.582,NaN,293.212,0.984,1021.012,0.999,349.279,97.284,1033.185,0.999,NaN,2050.000
38.367,48.971,-130.667,689.847,8.711,9.286,32.407,-0.976,-1.598,NaN,293.208,0.984,1021.127,0.999,349.274,97.276,1033.299,0.999,NaN,2051.000
38.368,48.971,-130.667,689.884,8.712,9.286,32.407,-0.971,-1.525,NaN,293.138,0.983,1020.289,0.999,349.193,97.258,1032.461,0.999,NaN,2052.000
38.369,48.971,-130.667,689.899,8.714,9.287,32.407,-0.960,-1.581,NaN,293.043,0.983,1020.460,0.999,349.085,97.227,1032.631,0.999,NaN,2053.000
38.371,48.971,-130.667,689.924,8.715,9.289,32.408,-0.954,-1.545,NaN,292.984,0.983,1019.987,0.998,349.029,97.211,1032.156,0.998,NaN,2054.000
38.372,48.970,-130.668,689.954,8.717,9.290,32.408,-0.944,-1.393,NaN,292.922,0.983,1018.583,0.997,348.956,97.193,1030.750,0.997,NaN,2055.000
38.374,48.970,-130.668,689.998,8.717,9.291,32.408,-0.954,-1.438,NaN,292.759,0.982,1018.396,0.996,348.773,97.145,1030.561,0.996,NaN,2056.000
38.375,48.971,-130.668,690.020,8.718,9.292,32.408,-0.967,-1.429,NaN,292.666,0.982,1018.018,0.996,348.664,97.116,1030.180,0.996,NaN,2057.000
38.376,48.970,-130.668,690.042,8.718,9.292,32.408,-0.934,-1.415,NaN,292.611,0.982,1017.701,0.996,348.580,97.097,1029.860,0.996,NaN,2058.000
38.378,48.971,-130.668,690.079,8.716,9.293,32.408,-0.944,-1.369,NaN,292.599,0.982,1017.236,0.995,348.548,97.086,1029.391,0.995,NaN,2059.000
38.379,48.970,-130.667,690.120,8.714,9.294,32.408,-0.988,-1.370,NaN,292.571,0.981,1017.118,0.995,348.500,97.080,1029.267,0.995,NaN,2060.000
38.381,48.970,-130.668,690.138,8.717,9.297,32.408,-1.041,-1.413,NaN,292.479,0.981,1017.213,0.995,348.372,97.062,1029.355,0.995,NaN,2061.000
38.382,48.970,-130.668,690.138,8.718,9.300,32.408,-1.036,-1.385,NaN,292.460,0.981,1016.945,0.995,348.348,97.061,1029.078,0.995,NaN,2062.000
38.383,48.971,-130.667,690.168,8.715,9.300,32.408,-1.022,-1.456,NaN,292.386,0.981,1017.190,0.995,348.260,97.036,1029.314,0.995,NaN,2063.000
38.385,48.971,-130.667,690.179,8.712,9.299,32.408,-1.021,-1.257,NaN,292.427,0.981,1015.655,0.993,348.315,97.044,1027.766,0.993,NaN,2064.000
38.386,48.971,-130.667,690.234,8.711,9.299,32.408,-1.017,-1.222,NaN,292.327,0.981,1014.984,0.993,348.194,97.009,1027.080,0.993,NaN,2065.000
38.387,48.971,-130.667,690.264,8.710,9.300,32.408,-0.974,-1.317,NaN,292.162,0.980,1015.179,0.993,347.987,96.956,1027.258,0.993,NaN,2066.000
38.389,48.971,-130.667,690.278,8.710,9.301,32.408,-0.940,-1.364,NaN,292.144,0.980,1015.497,0.994,347.969,96.951,1027.555,0.994,NaN,2067.000
38.390,48.971,-130.668,690.286,8.710,9.302,32.409,-0.942,-1.339,NaN,292.147,0.980,1015.300,0.993,347.979,96.956,1027.334,0.993,NaN,2068.000
38.392,48.971,-130.668,690.300,8.711,9.298,32.409,-0.961,-1.372,NaN,292.113,0.980,1015.462,0.994,347.925,96.936,1027.468,0.994,NaN,2069.000
38.393,48.971,-130.668,690.300,8.710,9.294,32.409,-1.002,-1.317,NaN,292.140,0.980,1015.095,0.993,347.950,96.930,1027.072,0.993,NaN,2070.000
38.394,48.971,-130.668,690.322,8.710,9.292,32.409,-1.003,-1.199,NaN,292.115,0.980,1014.049,0.992,347.922,96.919,1025.992,0.992,NaN,2071.000
38.396,48.970,-130.667,690.378,8.713,9.289,32.409,-0.962,-1.024,NaN,292.069,0.980,1012.538,0.990,347.864,96.892,1024.445,0.990,NaN,2072.000
38.397,48.971,-130.667,690.400,8.714,9.283,32.409,-0.953,-1.117,NaN,291.873,0.979,1012.628,0.990,347.616,96.818,1024.497,0.990,NaN,2073.000
38.399,48.971,-130.668,690.407,8.715,9.278,32.409,-0.903,-1.225,NaN,291.825,0.979,1013.353,0.991,347.554,96.787,1025.183,0.991,NaN,2074.000
38.400,48.971,-130.668,690.466,8.713,9.273,32.409,-0.893,-1.138,NaN,291.901,0.979,1012.884,0.991,347.636,96.801,1024.674,0.991,NaN,2075.000
38.401,48.970,-130.668,690.488,8.712,9.267,32.408,-0.866,-1.105,NaN,291.935,0.979,1012.691,0.990,347.673,96.799,1024.440,0.990,NaN,2076.000
