265.869,49.791,-139.632,2510.376,14.805,15.026,32.238,1.135,0.962,1.287,264.821,1.013,1026.903,1.003,312.779,99.322,1030.915,1.003,8547.000
265.871,49.790,-139.623,2511.014,14.804,15.022,32.237,1.106,0.953,1.279,264.805,1.013,1026.898,1.003,312.723,99.302,1030.913,1.003,8548.000
265.872,49.789,-139.615,2511.642,14.809,15.024,32.235,1.092,0.985,1.310,264.845,1.013,1026.893,1.003,312.810,99.320,1030.910,1.003,8549.000
265.874,49.788,-139.606,2512.302,14.808,15.023,32.232,1.100,0.998,1.324,264.884,1.013,1026.888,1.003,312.893,99.335,1030.908,1.003,8550.000
265.875,49.787,-139.598,2512.919,14.800,15.017,32.229,1.101,1.005,1.314,264.944,1.013,1026.882,1.003,312.964,99.347,1030.906,1.003,8551.000
265.876,49.786,-139.589,2513.571,14.789,15.008,32.228,1.103,1.001,1.310,264.991,1.013,1026.876,1.003,313.018,99.348,1030.904,1.003,8552.000
265.878,49.785,-139.581,2514.241,14.783,15.003,32.229,1.103,0.998,1.308,265.016,1.013,1026.871,1.003,313.031,99.345,1030.901,1.003,8553.000
265.879,49.785,-139.572,2514.886,14.779,14.999,32.226,1.096,0.996,1.306,265.034,1.013,1026.866,1.003,313.047,99.344,1030.899,1.003,8554.000
265.881,49.784,-139.564,2515.523,14.775,14.997,32.224,1.047,0.991,1.301,265.048,1.013,1026.863,1.003,313.090,99.341,1030.898,1.003,8555.000
265.882,49.783,-139.555,2516.171,14.777,14.998,32.225,1.023,0.990,1.300,265.037,1.013,1026.861,1.003,313.024,99.336,1030.896,1.003,8556.000
265.883,49.782,-139.547,2516.799,14.782,15.001,32.226,NaN,0.994,1.305,265.012,1.013,1026.857,1.003,312.980,99.333,1030.892,1.003,8557.000
265.885,49.781,-139.539,2517.428,14.786,15.005,32.227,NaN,1.004,1.314,265.008,1.013,1026.854,1.003,312.951,99.338,1030.888,1.003,8558.000
265.886,49.780,-139.530,2518.075,14.795,15.011,32.227,NaN,1.021,1.331,264.995,1.013,1026.853,1.003,312.938,99.346,1030.887,1.003,8559.000
265.887,49.780,-139.521,2518.731,14.801,15.017,32.228,1.065,1.051,1.361,265.028,1.014,1026.852,1.003,312.955,99.370,1030.885,1.003,8560.000
265.889,49.779,-139.513,2519.372,14.809,15.024,32.229,1.108,1.103,1.414,265.089,1.014,1026.851,1.003,313.082,99.413,1030.883,1.003,8561.000
265.890,49.778,-139.504,2520.009,14.806,15.022,32.230,1.138,1.145,1.456,265.193,1.014,1026.851,1.003,313.263,99.453,1030.881,1.003,8562.000
265.892,49.777,-139.496,2520.655,14.800,15.019,32.230,1.159,1.172,1.488,265.279,1.014,1026.851,1.003,313.384,99.477,1030.879,1.003,8563.000
265.893,49.776,-139.487,2521.292,14.805,15.023,32.230,1.177,1.209,1.525,265.326,1.015,1026.852,1.003,313.403,99.499,1030.877,1.003,8564.000
265.894,49.776,-139.479,2521.926,14.814,15.029,32.230,1.219,1.225,1.541,265.315,1.015,1026.850,1.003,313.301,99.505,1030.873,1.003,8565.000
265.896,49.775,-139.471,2522.550,14.810,15.029,32.230,1.237,1.223,1.539,265.327,1.015,1026.851,1.003,313.069,99.503,1030.870,1.003,8566.000
265.897,49.775,-139.462,2523.168,14.811,15.027,32.230,1.242,1.265,1.581,265.412,1.015,1026.849,1.003,313.374,99.540,1030.865,1.003,8567.000
265.899,49.774,-139.454,2523.786,14.804,15.023,32.231,1.253,1.337,1.653,265.593,1.016,1026.852,1.002,313.761,99.614,1030.863,1.002,8568.000
265.900,49.773,-139.446,2524.396,14.792,15.019,32.231,1.268,1.337,1.654,265.662,1.016,1026.854,1.002,313.850,99.624,1030.860,1.002,8569.000
265.901,49.773,-139.437,2525.037,14.802,15.026,32.232,1.242,1.295,1.612,265.521,1.015,1026.857,1.002,313.573,99.575,1030.859,1.002,8570.000
265.903,49.772,-139.429,2525.662,14.821,15.042,32.232,1.148,1.146,1.461,265.111,1.014,1026.861,1.003,313.028,99.444,1030.858,1.003,8571.000
265.904,49.772,-139.421,2526.268,14.838,15.058,32.233,0.970,0.918,1.233,264.548,1.012,1026.865,1.003,312.341,99.259,1030.856,1.003,8572.000
265.906,49.771,-139.413,2526.871,14.851,15.069,32.235,0.737,0.680,0.994,263.982,1.011,1026.868,1.004,311.497,99.065,1030.852,1.004,8573.000
265.907,49.771,-139.404,2527.491,14.869,15.080,32.237,0.610,0.477,0.789,263.467,1.009,1026.873,1.004,310.945,98.879,1030.850,1.004,8574.000
265.908,49.770,-139.396,2528.101,14.878,15.088,32.238,0.599,0.500,0.812,263.463,1.009,1026.876,1.004,310.977,98.901,1030.847,1.004,8575.000
265.910,49.770,-139.388,2528.729,14.880,15.089,32.239,0.697,0.588,0.901,263.640,1.010,1026.879,1.004,311.276,98.977,1030.845,1.004,8576.000
265.911,49.769,-139.379,2529.365,14.879,15.089,32.239,0.746,0.620,0.933,263.712,1.010,1026.881,1.004,311.413,99.006,1030.842,1.004,8577.000
265.912,49.769,-139.371,2529.969,14.877,15.088,32.240,0.785,0.581,0.893,263.637,1.010,1026.883,1.004,311.302,98.975,1030.840,1.004,8578.000
265.914,49.768,-139.363,2530.591,14.872,15.084,32.240,0.750,0.505,0.818,263.510,1.009,1026.883,1.004,311.113,98.914,1030.837,1.004,8579.000
265.915,49.767,-139.355,2531.195,14.872,15.084,32.240,0.679,0.387,0.699,263.262,1.008,1026.883,1.004,310.784,98.815,1030.834,1.004,8580.000
265.917,49.766,-139.347,2531.797,14.877,15.088,32.240,0.610,0.271,0.582,262.993,1.007,1026.881,1.005,310.440,98.716,1030.832,1.005,8581.000
265.918,49.766,-139.339,2532.421,14.880,15.090,32.240,0.577,0.209,0.521,262.849,1.007,1026.878,1.005,310.277,98.665,1030.829,1.005,8582.000
265.919,49.765,-139.331,2533.027,14.882,15.092,32.240,0.578,0.179,0.491,262.775,1.007,1026.874,1.005,310.204,98.640,1030.826,1.005,8583.000
265.921,49.764,-139.322,2533.666,14.884,15.094,32.240,0.572,0.165,0.477,262.735,1.007,1026.870,1.005,310.143,98.626,1030.824,1.005,8584.000
265.922,49.764,-139.314,2534.292,14.888,15.097,32.241,0.521,0.095,0.406,262.564,1.006,1026.862,1.005,309.869,98.566,1030.820,1.005,8585.000
265.924,49.763,-139.306,2534.921,14.889,15.098,32.242,0.475,-0.019,0.292,262.322,1.005,1026.855,1.005,309.568,98.478,1030.818,1.005,8586.000
265.925,49.762,-139.297,2535.538,14.886,15.096,32.242,0.453,0.020,0.331,262.417,1.005,1026.846,1.005,309.714,98.512,1030.815,1.005,8587.000
265.926,49.761,-139.289,2536.172,14.880,15.092,32.242,0.517,0.241,0.553,262.905,1.007,1026.836,1.005,310.379,98.700,1030.813,1.005,8588.000
265.928,49.761,-139.280,2536.813,14.866,15.082,32.241,0.679,0.430,0.743,263.366,1.009,1026.823,1.004,311.008,98.862,1030.808,1.004,8589.000
265.929,49.760,-139.272,2537.450,14.859,15.075,32.241,0.731,0.629,0.943,263.817,1.010,1026.813,1.004,311.525,99.021,1030.807,1.004,8590.000
265.931,49.759,-139.264,2538.073,14.854,15.072,32.242,0.777,0.626,0.940,263.831,1.010,1026.800,1.004,311.566,99.015,1030.804,1.004,8591.000
265.932,49.758,-139.256,2538.678,14.862,15.078,32.243,0.775,0.541,0.855,263.608,1.009,1026.787,1.004,311.216,98.936,1030.802,1.004,8592.000
265.933,49.758,-139.247,2539.315,14.876,15.090,32.244,0.748,0.436,0.753,263.309,1.009,1026.775,1.004,310.814,98.841,1030.801,1.004,8593.000
265.935,49.757,-139.239,2539.947,14.890,15.103,32.246,0.720,0.324,0.641,263.001,1.008,1026.760,1.004,310.410,98.745,1030.798,1.004,8594.000
265.936,49.756,-139.231,2540.577,14.904,15.118,32.247,0.651,0.245,0.561,262.753,1.007,1026.743,1.005,309.947,98.680,1030.793,1.005,8595.000
265.938,49.755,-139.222,2541.189,14.917,15.130,32.246,0.568,0.123,0.439,262.429,1.006,1026.728,1.005,309.395,98.560,1030.791,1.005,8596.000
265.939,49.754,-139.214,2541.853,14.926,15.140,32.246,0.537,0.112,0.428,262.355,1.006,1026.710,1.005,309.453,98.563,1030.787,1.005,8597.000
265.940,49.754,-139.205,2542.501,14.930,15.148,32.245,0.545,0.158,0.473,262.426,1.006,1026.691,1.005,309.637,98.610,1030.782,1.005,8598.000
265.942,49.752,-139.197,2543.146,14.932,15.155,32.245,0.527,0.171,0.487,262.438,1.006,1026.672,1.005,309.727,98.631,1030.778,1.005,8599.000
265.943,49.752,-139.189,2543.774,14.932,15.160,32.244,0.480,0.120,0.436,262.332,1.006,1026.655,1.005,309.623,98.604,1030.777,1.005,8600.000
265.944,49.751,-139.180,2544.423,14.927,15.162,32.244,0.428,0.006,0.321,262.118,1.005,1026.638,1.005,309.377,98.526,1030.775,1.005,8601.000
265.946,49.750,-139.172,2545.045,14.922,15.158,32.244,0.372,-0.108,0.207,261.903,1.004,1026.621,1.005,309.140,98.439,1030.772,1.005,8602.000
265.947,49.749,-139.163,2545.716,14.918,15.151,32.244,0.318,-0.192,0.124,261.743,1.003,1026.605,1.005,308.960,98.364,1030.769,1.005,8603.000
265.949,49.748,-139.155,2546.344,14.909,15.140,32.244,0.258,-0.255,0.061,261.656,1.003,1026.590,1.005,308.858,98.307,1030.766,1.005,8604.000
265.950,49.747,-139.146,2546.992,14.904,15.132,32.243,0.217,-0.299,0.017,261.589,1.003,1026.575,1.006,308.783,98.262,1030.763,1.006,8605.000
265.951,49.746,-139.138,2547.618,14.896,15.125,32.243,0.190,-0.360,-0.044,261.499,1.002,1026.560,1.006,308.633,98.213,1030.761,1.006,8606.000
265.953,49.745,-139.130,2548.245,14.891,15.121,32.242,0.144,-0.405,-0.089,261.431,1.002,1026.546,1.006,308.542,98.175,1030.758,1.006,8607.000
265.954,49.745,-139.121,2548.871,14.889,15.120,32.242,0.062,-0.427,-0.110,261.388,1.001,1026.533,1.006,308.534,98.157,1030.755,1.006,8608.000
265.956,49.743,-139.113,2549.490,14.891,15.120,32.243,0.008,-0.448,-0.130,261.332,1.001,1026.519,1.006,308.431,98.133,1030.752,1.006,8609.000
265.957,49.743,-139.105,2550.127,14.893,15.123,32.243,-0.038,-0.482,-0.165,261.246,1.001,1026.505,1.006,308.318,98.104,1030.749,1.006,8610.000
265.958,49.742,-139.097,2550.708,14.897,15.123,32.242,-0.082,-0.513,-0.195,261.159,1.001,1026.491,1.006,308.217,98.072,1030.745,1.006,8611.000
265.960,49.741,-139.089,2551.328,14.898,15.122,32.242,-0.135,-0.546,-0.229,261.078,1.000,1026.476,1.006,308.087,98.037,1030.742,1.006,8612.000
265.961,49.740,-139.081,2551.983,14.899,15.123,32.241,-0.168,-0.569,-0.251,261.026,1.000,1026.461,1.006,307.975,98.017,1030.739,1.006,8613.000
265.963,49.739,-139.072,2552.613,14.899,15.124,32.240,-0.184,-0.571,-0.253,261.018,1.000,1026.445,1.006,308.003,98.017,1030.736,1.006,8614.000
265.964,49.738,-139.064,2553.265,14.895,15.123,32.239,-0.146,-0.536,-0.218,261.105,1.000,1026.428,1.006,308.138,98.051,1030.733,1.006,8615.000
265.965,49.737,-139.056,2553.896,14.889,15.119,32.238,-0.110,-0.436,-0.117,261.347,1.001,1026.412,1.006,308.474,98.141,1030.730,1.006,8616.000
265.967,49.736,-139.047,2554.539,14.875,15.109,32.238,-0.100,-0.324,-0.005,261.648,1.002,1026.396,1.005,308.862,98.240,1030.727,1.005,8617.000
265.968,49.736,-139.039,2555.183,14.863,15.098,32.238,NaN,-0.209,0.111,261.947,1.003,1026.380,1.005,309.233,98.336,1030.724,1.005,8618.000
265.969,49.734,-139.031,2555.817,14.852,15.088,32.239,NaN,0.038,0.359,262.511,1.005,1026.366,1.005,309.940,98.541,1030.721,1.005,8619.000
265.971,49.734,-139.022,2556.454,14.841,15.078,32.239,0.625,0.412,0.735,263.341,1.008,1026.352,1.004,310.965,98.847,1030.718,1.004,8620.000
265.972,49.733,-139.014,2557.058,14.833,15.071,32.240,0.780,0.776,1.100,264.136,1.011,1026.339,1.003,311.937,99.142,1030.715,1.003,8621.000
265.974,49.732,-139.006,2557.684,14.829,15.066,32.241,0.974,1.022,1.348,264.664,1.013,1026.327,1.003,312.576,99.338,1030.712,1.003,8622.000
265.975,49.731,-138.998,2558.341,14.827,15.063,32.241,1.084,1.157,1.488,264.951,1.014,1026.316,1.002,312.931,99.446,1030.710,1.002,8623.000
265.976,49.730,-138.989,2558.970,14.825,15.062,32.243,1.209,1.274,1.605,265.197,1.015,1026.304,1.002,313.256,99.539,1030.707,1.002,8624.000
265.978,49.730,-138.981,2559.609,14.826,15.064,32.245,1.316,1.339,1.670,265.317,1.015,1026.290,1.002,313.385,99.581,1030.702,1.002,8625.000
265.979,49.728,-138.972,2560.242,14.825,15.064,32.247,1.400,1.375,1.707,265.392,1.016,1026.282,1.002,313.217,99.608,1030.701,1.002,8626.000
265.981,49.728,-138.964,2560.856,14.825,15.065,32.249,1.467,1.407,1.738,265.454,1.016,1026.271,1.002,313.459,99.640,1030.697,1.002,8627.000
265.982,49.727,-138.956,2561.483,14.825,15.068,32.252,1.465,1.415,1.747,265.461,1.016,1026.260,1.002,313.549,99.655,1030.691,1.002,8628.000
265.983,49.727,-138.947,2562.118,14.828,15.075,32.255,1.422,1.389,1.721,265.387,1.016,1026.250,1.002,313.459,99.642,1030.687,1.002,8629.000
265.985,49.727,-138.939,2562.729,14.833,15.084,32.257,1.390,1.344,1.676,265.255,1.015,1026.245,1.002,313.297,99.612,1030.684,1.002,8630.000
265.986,49.727,-138.930,2563.341,14.841,15.093,32.259,1.350,1.294,1.626,265.108,1.015,1026.242,1.002,313.118,99.575,1030.683,1.002,8631.000
265.988,49.725,-138.922,2563.971,14.848,15.100,32.260,1.269,1.200,1.531,264.874,1.014,1026.239,1.002,312.843,99.499,1030.680,1.002,8632.000
265.989,49.725,-138.914,2564.609,14.852,15.102,32.260,1.220,1.107,1.437,264.659,1.013,1026.239,1.002,312.594,99.420,1030.677,1.002,8633.000
265.990,49.724,-138.905,2565.251,14.855,15.100,32.260,1.176,1.032,1.362,264.487,1.013,1026.239,1.002,312.379,99.351,1030.673,1.002,8634.000
265.992,49.723,-138.897,2565.884,14.856,15.098,32.259,1.106,0.988,1.318,264.397,1.012,1026.241,1.003,312.252,99.310,1030.670,1.003,8635.000
265.993,49.722,-138.888,2566.527,14.857,15.098,32.259,1.073,0.979,1.309,264.375,1.012,1026.244,1.003,312.199,99.295,1030.667,1.003,8636.000
265.994,49.721,-138.880,2567.192,14.862,15.102,32.259,1.072,0.984,1.314,264.355,1.012,1026.247,1.003,312.200,99.297,1030.664,1.003,8637.000
265.996,49.720,-138.872,2567.849,14.868,15.106,32.258,1.078,1.001,1.331,264.363,1.013,1026.251,1.002,312.196,99.307,1030.660,1.002,8638.000
265.997,49.719,-138.863,2568.502,14.873,15.110,32.258,1.108,1.024,1.355,264.387,1.013,1026.255,1.002,312.224,99.325,1030.657,1.002,8639.000
265.999,49.718,-138.855,2569.152,14.879,15.114,32.258,1.139,1.107,1.437,264.522,1.013,1026.258,1.002,312.365,99.384,1030.654,1.002,8640.000
266.000,49.717,-138.846,2569.773,14.886,15.120,32.259,1.186,1.224,1.556,264.730,1.014,1026.260,1.002,312.620,99.478,1030.651,1.002,8641.000
266.001,49.715,-138.838,2570.414,14.891,15.127,32.260,1.273,1.302,1.635,264.861,1.015,1026.260,1.002,312.820,99.542,1030.647,1.002,8642.000
266.003,49.714,-138.830,2571.074,14.896,15.131,32.261,1.320,1.345,1.678,264.922,1.015,1026.260,1.002,312.948,99.581,1030.644,1.002,8643.000
266.004,49.713,-138.821,2571.695,14.897,15.131,32.263,1.353,1.354,1.687,264.930,1.015,1026.258,1.002,312.955,99.586,1030.641,1.002,8644.000
266.006,49.712,-138.813,2572.348,14.900,15.131,32.266,1.366,1.344,1.677,264.890,1.015,1026.256,1.002,312.878,99.571,1030.638,1.002,8645.000
266.007,49.711,-138.805,2572.983,14.904,15.133,32.268,1.318,1.317,1.650,264.808,1.015,1026.252,1.002,312.765,99.545,1030.635,1.002,8646.000
266.008,49.710,-138.796,2573.610,14.908,15.136,32.270,1.264,1.267,1.599,264.677,1.015,1026.246,1.002,312.605,99.500,1030.630,1.002,8647.000
266.010,49.709,-138.788,2574.238,14.911,15.139,32.271,1.211,1.221,1.554,264.567,1.014,1026.239,1.002,312.454,99.463,1030.626,1.002,8648.000
266.011,49.708,-138.780,2574.867,14.913,15.141,32.274,1.185,1.184,1.517,264.471,1.014,1026.234,1.002,312.345,99.432,1030.624,1.002,8649.000
266.012,49.707,-138.772,2575.498,14.913,15.143,32.278,1.132,1.145,1.478,264.382,1.014,1026.226,1.002,312.260,99.403,1030.621,1.002,8650.000
266.014,49.706,-138.763,2576.142,14.917,15.147,32.285,1.099,1.108,1.440,264.271,1.013,1026.219,1.002,312.102,99.369,1030.617,1.002,8651.000
266.015,49.704,-138.755,2576.777,14.919,15.151,32.292,1.061,1.073,1.405,264.176,1.013,1026.211,1.002,311.996,99.348,1030.615,1.002,8652.000
266.017,49.703,-138.747,2577.426,14.921,15.157,32.298,1.036,1.051,1.378,264.105,1.013,1026.204,1.002,311.922,99.334,1030.613,1.002,8653.000
266.018,49.702,-138.739,2578.040,14.925,15.158,32.296,1.022,1.044,1.371,264.072,1.013,1026.196,1.002,312.002,99.333,1030.610,1.002,8654.000
266.019,49.701,-138.731,2578.670,14.906,15.149,32.294,1.022,1.017,1.344,264.118,1.013,1026.184,1.002,311.814,99.322,1030.604,1.002,8655.000
266.021,49.700,-138.723,2579.323,14.911,15.148,32.291,1.028,1.010,1.338,264.080,1.013,1026.178,1.002,311.521,99.306,1030.603,1.002,8656.000
266.022,49.699,-138.715,2579.944,14.908,15.146,32.282,1.061,1.101,1.429,264.294,1.013,1026.169,1.002,312.032,99.384,1030.599,1.002,8657.000
266.024,49.697,-138.706,2580.589,14.896,15.140,32.277,1.116,1.147,1.475,264.461,1.014,1026.160,1.002,312.296,99.429,1030.593,1.002,8658.000
266.025,49.696,-138.698,2581.229,14.897,15.143,32.277,1.140,1.128,1.456,264.416,1.014,1026.151,1.002,312.194,99.412,1030.588,1.002,8659.000
266.026,49.695,-138.690,2581.863,14.904,15.154,32.276,1.126,1.097,1.425,264.316,1.013,1026.145,1.002,312.070,99.394,1030.584,1.002,8660.000
266.028,49.694,-138.682,2582.482,14.905,15.164,32.272,1.118,1.068,1.396,264.256,1.013,1026.143,1.002,312.115,99.394,1030.583,1.002,8661.000
266.029,49.694,-138.673,2583.075,14.903,15.167,32.269,1.097,1.049,1.377,264.228,1.013,1026.142,1.002,312.112,99.391,1030.580,1.002,8662.000
266.031,49.694,-138.666,2583.668,14.902,15.163,32.266,1.063,0.953,1.281,264.044,1.012,1026.142,1.003,311.886,99.314,1030.577,1.003,8663.000
266.032,49.694,-138.657,2584.247,14.904,15.161,32.266,1.007,0.868,1.196,263.857,1.011,1026.144,1.003,311.574,99.233,1030.573,1.003,8664.000
266.033,49.694,-138.650,2584.821,14.909,15.161,32.264,0.960,0.832,1.159,263.758,1.011,1026.149,1.003,311.527,99.194,1030.570,1.003,8665.000
266.035,49.694,-138.642,2585.387,14.910,15.160,32.262,0.963,0.836,1.164,263.771,1.011,1026.155,1.003,311.593,99.191,1030.567,1.003,8666.000
266.036,49.694,-138.634,2585.977,14.918,15.170,32.266,0.972,0.820,1.147,263.686,1.011,1026.162,1.003,311.299,99.163,1030.563,1.003,8667.000
266.037,49.694,-138.625,2586.594,14.965,15.204,32.274,0.998,0.824,1.151,263.441,1.011,1026.171,1.003,310.859,99.127,1030.560,1.003,8668.000
266.039,49.694,-138.617,2587.195,15.019,15.252,32.281,1.031,0.830,1.156,263.158,1.011,1026.181,1.003,310.491,99.112,1030.556,1.003,8669.000
266.040,49.695,-138.609,2587.799,15.077,15.302,32.286,1.067,0.848,1.173,262.887,1.011,1026.190,1.003,310.170,99.107,1030.553,1.003,8670.000
266.042,49.695,-138.601,2588.400,15.126,15.348,32.289,1.126,0.869,1.194,262.668,1.012,1026.199,1.003,309.930,99.119,1030.549,1.003,8671.000
266.043,49.696,-138.593,2588.980,15.162,15.382,32.291,1.183,0.875,1.200,262.495,1.012,1026.207,1.003,309.736,99.128,1030.546,1.003,8672.000
266.044,49.696,-138.585,2589.604,15.188,15.410,32.292,1.174,0.892,1.216,262.392,1.012,1026.213,1.003,309.632,99.147,1030.542,1.003,8673.000
266.046,49.696,-138.577,2590.189,15.209,15.434,32.294,1.155,0.921,1.245,262.341,1.012,1026.218,1.003,309.565,99.178,1030.539,1.003,8674.000
266.047,49.697,-138.568,2590.806,15.227,15.453,32.295,1.131,0.963,1.287,262.332,1.012,1026.223,1.003,309.572,99.216,1030.535,1.003,8675.000
266.049,49.697,-138.560,2591.409,15.240,15.465,32.296,1.124,1.046,1.370,262.434,1.013,1026.226,1.003,309.719,99.283,1030.532,1.003,8676.000
266.050,49.696,-138.552,2592.029,15.246,15.463,32.296,1.133,1.148,1.473,262.614,1.014,1026.228,1.002,309.846,99.336,1030.529,1.002,8677.000
266.051,49.695,-138.544,2592.638,15.246,15.472,32.296,NaN,1.163,1.488,262.643,1.014,1026.229,1.002,310.004,99.380,1030.525,1.002,8678.000
266.053,49.695,-138.536,2593.253,15.241,15.471,32.296,NaN,1.189,1.513,262.720,1.014,1026.229,1.002,310.178,99.419,1030.522,1.002,8679.000
266.054,49.694,-138.528,2593.857,15.235,15.466,32.296,1.180,1.206,1.531,262.786,1.014,1026.228,1.002,310.265,99.437,1030.518,1.002,8680.000
266.056,49.694,-138.520,2594.449,15.226,15.459,32.297,1.193,1.207,1.532,262.834,1.014,1026.226,1.002,310.268,99.438,1030.515,1.002,8681.000
266.057,49.693,-138.512,2595.077,15.219,15.454,32.297,1.218,1.235,1.560,262.929,1.015,1026.224,1.002,310.400,99.466,1030.512,1.002,8682.000
266.058,49.692,-138.503,2595.719,15.212,15.447,32.297,1.280,1.287,1.613,263.074,1.015,1026.223,1.002,310.614,99.513,1030.510,1.002,8683.000
266.060,49.691,-138.495,2596.345,15.203,15.440,32.297,1.356,1.339,1.658,263.223,1.015,1026.218,1.002,310.848,99.560,1030.506,1.002,8684.000
266.061,49.691,-138.486,2596.986,15.198,15.433,32.297,1.408,1.372,1.692,263.317,1.016,1026.210,1.002,310.816,99.573,1030.500,1.002,8685.000
266.063,49.690,-138.478,2597.593,15.194,15.429,32.297,1.425,1.364,1.684,263.321,1.016,1026.208,1.002,310.564,99.561,1030.500,1.002,8686.000
266.064,49.689,-138.470,2598.243,15.191,15.427,32.297,1.406,1.361,1.681,263.330,1.016,1026.201,1.002,310.816,99.566,1030.496,1.002,8687.000
266.065,49.689,-138.461,2598.874,15.186,15.422,32.297,1.392,1.361,1.681,263.350,1.016,1026.192,1.002,310.941,99.569,1030.490,1.002,8688.000
266.067,49.688,-138.453,2599.515,15.184,15.422,32.297,1.365,1.308,1.628,263.253,1.015,1026.182,1.002,310.765,99.523,1030.484,1.002,8689.000
266.068,49.687,-138.445,2600.130,15.199,15.434,32.296,1.322,1.259,1.579,263.069,1.015,1026.175,1.002,310.463,99.469,1030.481,1.002,8690.000
266.069,49.686,-138.437,2600.748,15.211,15.450,32.295,1.283,1.212,1.532,262.914,1.014,1026.169,1.002,310.292,99.441,1030.479,1.002,8691.000
266.071,49.685,-138.428,2601.373,15.213,15.458,32.295,1.264,1.169,1.489,262.815,1.014,1026.163,1.002,310.197,99.423,1030.476,1.002,8692.000
266.072,49.685,-138.420,2601.998,15.213,15.458,32.294,1.249,1.154,1.473,262.779,1.014,1026.158,1.002,310.191,99.412,1030.473,1.002,8693.000
266.074,49.684,-138.412,2602.625,15.217,15.457,32.294,1.250,1.152,1.471,262.756,1.014,1026.153,1.002,310.166,99.400,1030.469,1.002,8694.000
266.075,49.683,-138.404,2603.253,15.222,15.459,32.294,1.285,1.157,1.476,262.742,1.014,1026.150,1.002,310.159,99.397,1030.466,1.002,8695.000
266.076,49.682,-138.395,2603.908,15.226,15.461,32.293,1.317,1.161,1.481,262.725,1.014,1026.146,1.002,310.140,99.396,1030.462,1.002,8696.000
266.078,49.681,-138.387,2604.551,15.232,15.467,32.293,1.334,1.144,1.463,262.659,1.014,1026.143,1.002,310.075,99.380,1030.459,1.002,8697.000
266.079,49.681,-138.378,2605.187,15.243,15.475,32.294,1.334,1.124,1.443,262.561,1.014,1026.141,1.002,309.939,99.359,1030.455,1.002,8698.000
266.081,49.680,-138.370,2605.802,15.250,15.483,32.293,1.303,1.094,1.413,262.460,1.013,1026.138,1.003,309.800,99.335,1030.452,1.003,8699.000
266.082,49.679,-138.361,2606.444,15.254,15.487,32.292,1.276,1.057,1.376,262.366,1.013,1026.135,1.003,309.709,99.308,1030.448,1.003,8700.000
266.083,49.679,-138.353,2607.068,15.255,15.488,32.291,1.246,1.012,1.331,262.268,1.013,1026.132,1.003,309.582,99.272,1030.444,1.003,8701.000
266.085,49.678,-138.345,2607.704,15.259,15.493,32.291,1.205,0.939,1.257,262.098,1.012,1026.127,1.003,309.336,99.209,1030.441,1.003,8702.000
266.086,49.677,-138.337,2608.306,15.275,15.506,32.291,1.117,0.867,1.185,261.869,1.012,1026.122,1.003,308.967,99.137,1030.437,1.003,8703.000
266.088,49.676,-138.328,2608.945,15.296,15.524,32.290,1.063,0.835,1.152,261.690,1.011,1026.116,1.003,308.747,99.099,1030.434,1.003,8704.000
266.089,49.676,-138.320,2609.585,15.311,15.539,32.289,1.035,0.814,1.131,261.570,1.011,1026.108,1.003,308.627,99.087,1030.430,1.003,8705.000
266.090,49.675,-138.311,2610.193,15.318,15.548,32.288,1.026,0.812,1.129,261.526,1.011,1026.100,1.003,308.592,99.091,1030.427,1.003,8706.000
266.092,49.674,-138.303,2610.813,15.321,15.553,32.288,1.021,0.824,1.141,261.532,1.011,1026.091,1.003,308.636,99.105,1030.423,1.003,8707.000
266.093,49.673,-138.295,2611.449,15.323,15.556,32.288,1.009,0.830,1.147,261.535,1.011,1026.081,1.003,308.697,99.113,1030.420,1.003,8708.000
266.094,49.673,-138.286,2612.100,15.323,15.557,32.288,1.001,0.818,1.135,261.505,1.011,1026.071,1.003,308.662,99.106,1030.416,1.003,8709.000
266.096,49.672,-138.278,2612.716,15.323,15.557,32.288,0.969,0.797,1.114,261.463,1.011,1026.060,1.003,308.564,99.091,1030.413,1.003,8710.000
266.097,49.671,-138.270,2613.352,15.320,15.556,32.286,0.949,0.759,1.076,261.400,1.011,1026.048,1.003,308.487,99.065,1030.409,1.003,8711.000
266.099,49.670,-138.261,2613.980,15.317,15.554,32.284,0.934,0.731,1.048,261.358,1.011,1026.037,1.003,308.455,99.045,1030.406,1.003,8712.000
266.100,49.670,-138.253,2614.608,15.311,15.550,32.281,0.915,0.719,1.036,261.366,1.010,1026.025,1.003,308.494,99.041,1030.404,1.003,8713.000
266.101,49.669,-138.245,2615.254,15.306,15.547,32.280,0.906,0.710,1.031,261.370,1.010,1026.012,1.003,308.506,99.033,1030.400,1.003,8714.000
266.103,49.668,-138.236,2615.893,15.307,15.547,32.279,0.894,0.706,1.027,261.356,1.010,1025.996,1.003,308.270,99.020,1030.394,1.003,8715.000
266.104,49.667,-138.228,2616.538,15.309,15.549,32.278,0.886,0.657,0.978,261.239,1.010,1025.984,1.003,307.991,98.969,1030.392,1.003,8716.000
266.106,49.666,-138.219,2617.155,15.311,15.551,32.277,0.882,0.680,1.001,261.274,1.010,1025.972,1.003,308.209,98.993,1030.391,1.003,8717.000
266.107,49.666,-138.211,2617.770,15.312,15.552,32.277,0.873,0.687,1.009,261.283,1.010,1025.956,1.003,308.329,98.999,1030.387,1.003,8718.000
