198.465,73.466,-58.380,3637.518,7.068,8.588,32.264,1.072,0.066,0.263,326.321,1.072,1082.022,1.072,379.764,104.127,1098.234,1.072,1.000
198.467,73.472,-58.392,3638.297,7.027,8.549,32.325,1.143,0.410,0.502,327.424,1.075,1082.133,1.071,381.250,104.441,1098.310,1.071,1.000
198.468,73.479,-58.403,3639.071,6.981,8.492,32.376,1.168,0.611,0.770,328.723,1.079,1083.988,1.072,382.978,104.770,1100.137,1.072,1.000
198.469,73.485,-58.416,3639.839,6.945,8.462,32.426,1.174,0.607,0.969,329.652,1.081,1086.615,1.075,384.319,105.048,1102.743,1.075,1.000
198.471,73.491,-58.428,3640.615,6.928,8.455,32.476,NaN,0.738,1.055,330.123,1.083,1087.007,1.075,384.941,105.212,1103.109,1.075,1.000
198.472,73.497,-58.439,3641.393,6.901,8.412,32.512,NaN,1.008,1.217,330.934,1.085,1086.932,1.074,386.036,105.403,1103.006,1.074,2.000
198.474,73.503,-58.451,3642.169,6.856,8.365,32.538,NaN,1.186,1.260,331.572,1.086,1086.550,1.073,386.925,105.525,1102.595,1.073,2.000
198.475,73.509,-58.462,3642.947,6.856,8.393,32.562,1.458,0.869,1.150,331.332,1.086,1088.738,1.076,386.649,105.521,1104.753,1.076,2.000
198.476,73.515,-58.474,3643.719,6.896,8.415,32.603,1.524,0.883,1.152,331.153,1.086,1089.339,1.077,386.538,105.548,1105.320,1.077,2.000
198.478,73.521,-58.486,3644.495,6.919,8.430,32.630,1.598,1.025,1.215,331.332,1.088,1089.486,1.077,386.817,105.664,1105.432,1.077,2.000
198.479,73.527,-58.497,3645.263,6.924,8.453,32.644,1.663,0.951,1.146,331.226,1.088,1090.019,1.077,386.696,105.696,1105.929,1.077,2.000
198.481,73.534,-58.507,3646.029,6.936,8.449,32.663,1.697,1.026,1.185,331.258,1.088,1089.912,1.077,386.803,105.709,1105.782,1.077,2.000
198.482,73.540,-58.516,3646.793,6.952,8.454,32.689,1.707,1.177,1.300,331.512,1.090,1090.041,1.077,387.173,105.825,1105.871,1.077,2.000
198.483,73.547,-58.523,3647.556,6.959,8.466,32.710,1.688,1.207,1.458,331.997,1.092,1091.762,1.079,387.773,106.019,1107.553,1.079,2.000
198.485,73.553,-58.531,3648.318,6.966,8.456,32.727,1.620,1.280,1.544,332.233,1.093,1092.206,1.079,388.113,106.085,1107.956,1.079,2.000
198.486,73.560,-58.539,3649.086,6.969,8.456,32.735,1.502,1.418,1.606,332.474,1.094,1091.943,1.078,388.400,106.173,1107.656,1.078,2.000
198.488,73.566,-58.548,3649.857,6.999,8.504,32.716,1.394,1.243,1.514,332.060,1.093,1092.726,1.079,387.867,106.142,1108.404,1.079,2.000
198.489,73.573,-58.556,3650.616,7.068,8.573,32.686,1.325,1.083,1.414,331.329,1.092,1093.232,1.080,386.851,106.041,1108.874,1.080,2.000
198.490,73.579,-58.564,3651.385,7.175,8.678,32.663,1.254,1.070,1.385,330.546,1.092,1093.262,1.080,385.785,106.014,1108.867,1.080,2.000
198.492,73.586,-58.573,3652.149,7.251,8.754,32.639,1.248,0.989,1.274,329.708,1.091,1092.922,1.080,384.669,105.903,1108.491,1.080,2.000
198.493,73.592,-58.584,3652.907,7.287,8.774,32.607,1.240,0.976,1.162,329.218,1.090,1092.063,1.079,383.989,105.765,1107.596,1.079,2.000
198.494,73.598,-58.594,3653.677,7.305,8.785,32.568,1.260,0.847,1.063,328.750,1.089,1091.770,1.079,383.307,105.607,1107.268,1.079,2.000
198.496,73.604,-58.603,3654.446,7.329,8.805,32.532,1.335,0.803,1.073,328.598,1.088,1091.990,1.080,383.010,105.577,1107.455,1.080,2.000
198.497,73.611,-58.612,3655.218,7.351,8.836,32.503,1.458,0.653,1.108,328.497,1.088,1093.339,1.081,382.785,105.594,1108.773,1.081,2.000
198.499,73.617,-58.620,3655.992,7.378,8.854,32.482,1.549,0.821,1.119,328.291,1.088,1091.676,1.079,382.469,105.552,1107.081,1.079,2.000
198.500,73.624,-58.628,3656.771,7.406,8.881,32.479,1.629,0.793,1.092,327.898,1.088,1091.265,1.079,381.969,105.484,1106.644,1.079,2.000
198.501,73.630,-58.637,3657.542,7.384,8.871,32.501,1.723,0.637,1.075,327.934,1.087,1092.404,1.081,382.083,105.489,1107.760,1.081,2.000
198.503,73.637,-58.646,3658.318,7.342,8.814,32.526,1.768,0.847,1.178,328.530,1.088,1091.667,1.079,382.904,105.570,1107.000,1.079,2.000
198.504,73.644,-58.654,3659.108,7.304,8.771,32.555,1.795,0.957,1.267,328.989,1.089,1091.497,1.079,383.563,105.642,1106.809,1.079,2.000
198.506,73.650,-58.663,3659.899,7.260,8.750,32.601,1.820,0.947,1.333,329.420,1.090,1092.271,1.080,384.224,105.770,1107.566,1.080,2.000
198.507,73.657,-58.672,3660.696,7.193,8.660,32.639,1.918,1.262,1.547,330.520,1.092,1091.780,1.078,385.707,105.947,1107.060,1.078,2.000
198.508,73.664,-58.681,3661.488,7.111,8.575,32.652,2.038,1.521,1.622,331.557,1.094,1091.014,1.077,387.043,106.095,1106.280,1.077,2.000
198.510,73.670,-58.690,3662.280,7.065,8.540,32.661,2.100,1.347,1.616,332.088,1.094,1093.230,1.080,387.707,106.189,1108.485,1.080,2.000
198.511,73.677,-58.698,3663.074,7.060,8.527,32.678,2.142,1.403,1.602,332.251,1.095,1093.278,1.080,387.952,106.222,1108.524,1.080,2.000
198.512,73.683,-58.709,3663.846,7.022,8.482,32.693,NaN,1.624,1.793,333.319,1.097,1094.086,1.080,389.312,106.479,1109.323,1.080,2.000
198.514,73.690,-58.719,3664.629,6.971,8.453,32.707,NaN,1.671,1.961,334.424,1.100,1096.197,1.082,390.660,106.778,1111.426,1.082,2.000
198.515,73.696,-58.730,3665.405,6.932,8.412,32.719,NaN,1.837,2.064,335.059,1.101,1095.944,1.081,391.521,106.900,1111.165,1.081,2.000
198.517,73.703,-58.740,3666.185,6.894,8.366,32.728,2.012,1.975,2.151,335.635,1.102,1095.743,1.081,392.266,106.984,1110.954,1.081,2.000
198.518,73.709,-58.751,3666.958,6.855,8.340,32.739,1.885,1.837,2.188,336.086,1.103,1097.552,1.083,392.857,107.087,1112.754,1.083,2.000
198.519,73.715,-58.764,3667.735,6.852,8.346,32.751,1.824,1.881,2.187,336.105,1.103,1097.236,1.082,392.908,107.107,1112.428,1.082,2.000
198.521,73.721,-58.776,3668.515,6.873,8.355,32.755,1.775,1.943,2.220,336.056,1.103,1097.094,1.082,392.853,107.118,1112.275,1.082,2.000
198.522,73.727,-58.788,3669.293,6.917,8.401,32.740,1.644,1.810,2.126,335.458,1.102,1097.281,1.083,392.055,107.019,1112.449,1.083,2.000
198.524,73.733,-58.801,3670.073,6.980,8.465,32.726,1.482,1.618,1.939,334.487,1.100,1097.232,1.083,390.821,106.847,1112.385,1.083,2.000
198.525,73.739,-58.813,3670.856,7.032,8.508,32.721,1.369,1.493,1.845,333.792,1.100,1097.308,1.083,389.940,106.718,1112.443,1.083,2.000
198.526,73.745,-58.825,3671.639,7.083,8.559,32.715,1.270,1.466,1.741,333.118,1.099,1096.539,1.083,389.087,106.615,1111.654,1.083,2.000
198.528,73.752,-58.837,3672.423,7.133,8.612,32.678,1.165,1.285,1.566,332.273,1.097,1096.303,1.083,387.938,106.438,1111.396,1.083,2.000
198.529,73.758,-58.850,3673.211,7.167,8.633,32.596,1.097,1.238,1.404,331.354,1.094,1093.863,1.081,386.601,106.124,1108.934,1.081,2.000
198.531,73.764,-58.862,3674.002,7.200,8.670,32.507,1.061,1.033,1.229,330.432,1.091,1092.735,1.080,385.231,105.842,1107.783,1.080,2.000
198.532,73.770,-58.874,3674.787,7.284,8.766,32.413,1.072,0.679,1.050,329.092,1.088,1092.758,1.081,383.311,105.557,1107.784,1.081,2.000
198.533,73.776,-58.886,3675.569,7.399,8.873,32.330,1.091,0.445,0.800,327.290,1.085,1091.023,1.080,380.876,105.156,1106.026,1.080,2.000
198.535,73.783,-58.893,3676.341,7.505,8.979,32.278,1.115,0.286,0.558,325.563,1.081,1088.812,1.078,378.612,104.796,1103.793,1.078,2.000
198.536,73.790,-58.899,3677.107,7.567,9.049,32.275,1.097,0.023,0.400,324.477,1.079,1088.993,1.079,377.256,104.598,1103.952,1.079,2.000
198.537,73.796,-58.906,3677.877,7.599,9.061,32.328,1.001,0.133,0.504,324.371,1.080,1088.817,1.079,377.250,104.630,1103.754,1.079,2.000
198.539,73.803,-58.912,3678.651,7.620,9.080,32.384,0.909,0.376,0.604,324.375,1.081,1087.600,1.077,377.369,104.713,1102.516,1.077,2.000
198.540,73.810,-58.918,3679.427,7.610,9.074,32.453,0.805,0.431,0.742,324.651,1.082,1088.308,1.077,377.893,104.841,1103.206,1.077,2.000
198.542,73.817,-58.925,3680.196,7.608,9.056,32.472,0.734,0.567,0.850,324.913,1.083,1088.076,1.077,378.270,104.899,1102.957,1.077,2.000
198.543,73.823,-58.931,3680.972,7.565,9.010,32.426,0.652,0.705,0.886,325.173,1.082,1086.326,1.075,378.486,104.846,1101.191,1.075,2.000
198.544,73.830,-58.937,3681.761,7.501,8.965,32.348,0.528,0.681,0.813,325.290,1.081,1084.734,1.073,378.447,104.722,1099.587,1.073,2.000
198.546,73.837,-58.943,3682.544,7.450,8.903,32.268,0.437,0.506,0.750,325.318,1.079,1084.494,1.074,378.288,104.523,1099.337,1.074,2.000
198.547,73.844,-58.950,3683.327,7.445,8.906,32.218,0.396,0.339,0.719,325.081,1.078,1084.686,1.074,377.869,104.414,1099.520,1.074,2.000
198.549,73.851,-58.957,3684.105,7.507,8.959,32.140,0.391,0.446,0.724,324.559,1.077,1082.944,1.072,377.012,104.309,1097.770,1.072,2.000
198.550,73.857,-58.964,3684.887,7.593,9.045,32.026,0.377,0.097,0.551,323.575,1.075,1084.012,1.074,375.463,104.093,1098.834,1.074,2.000
198.551,73.864,-58.970,3685.667,7.641,9.091,31.929,0.351,-0.023,0.381,322.874,1.073,1083.154,1.073,374.348,103.900,1097.974,1.073,2.000
198.553,73.871,-58.976,3686.445,7.642,9.094,31.865,0.316,-0.011,0.298,322.702,1.072,1082.006,1.072,373.991,103.804,1096.828,1.072,2.000
198.554,73.878,-58.982,3687.226,7.565,9.001,31.818,NaN,0.060,0.374,323.531,1.073,1081.954,1.072,374.868,103.821,1096.781,1.072,2.000
198.556,73.884,-58.988,3687.994,7.456,8.902,31.769,NaN,0.118,0.400,324.537,1.073,1081.773,1.072,376.007,103.887,1096.608,1.072,2.000
198.557,73.891,-58.994,3688.770,7.366,8.816,31.724,NaN,0.284,0.491,325.631,1.074,1081.439,1.071,377.250,104.014,1096.283,1.071,2.000
198.558,73.898,-59.000,3689.545,7.295,8.762,31.698,0.316,0.306,0.490,326.257,1.075,1081.378,1.071,377.929,104.064,1096.235,1.071,2.000
198.560,73.905,-59.004,3690.313,7.276,8.751,31.677,0.297,0.203,0.423,326.294,1.074,1081.778,1.072,377.941,104.041,1096.648,1.072,2.000
198.561,73.912,-59.005,3691.080,7.285,8.760,31.667,0.259,0.226,0.382,326.133,1.074,1081.182,1.071,377.711,104.002,1096.066,1.071,2.000
198.563,73.919,-59.006,3691.848,7.283,8.757,31.670,0.224,0.054,0.350,326.098,1.074,1082.576,1.073,377.662,103.982,1097.474,1.073,2.000
198.564,73.926,-59.007,3692.627,7.268,8.739,31.680,0.191,0.066,0.364,326.195,1.073,1082.487,1.073,377.829,103.980,1097.399,1.073,2.000
198.565,73.932,-59.008,3693.397,7.298,8.772,31.683,0.184,0.143,0.428,326.044,1.074,1082.080,1.072,377.641,104.014,1097.007,1.072,2.000
198.567,73.939,-59.009,3694.172,7.352,8.829,31.683,0.193,0.068,0.406,325.557,1.073,1082.434,1.073,377.045,103.993,1097.376,1.073,2.000
198.568,73.946,-59.010,3694.946,7.377,8.848,31.685,0.211,0.034,0.388,325.193,1.073,1082.150,1.073,376.588,103.914,1097.106,1.073,2.000
198.569,73.953,-59.011,3695.724,7.411,8.880,31.682,0.188,0.030,0.330,324.681,1.072,1081.296,1.072,375.939,103.818,1096.268,1.072,2.000
198.571,73.960,-59.012,3696.492,7.396,8.871,31.687,0.168,0.052,0.262,324.594,1.072,1080.445,1.071,375.871,103.776,1095.432,1.071,2.000
198.572,73.967,-59.013,3697.263,7.352,8.820,31.693,0.162,-0.003,0.239,324.872,1.071,1080.802,1.071,376.235,103.748,1095.804,1.071,2.000
198.574,73.974,-59.015,3698.033,7.322,8.788,31.695,0.159,0.063,0.256,325.096,1.072,1080.240,1.071,376.523,103.747,1095.254,1.071,2.000
198.575,73.981,-59.016,3698.793,7.330,8.794,31.691,0.140,0.021,0.269,325.136,1.072,1080.920,1.071,376.576,103.776,1095.952,1.071,2.000
198.576,73.988,-59.017,3699.549,7.367,8.835,31.687,0.135,-0.035,0.271,324.866,1.072,1081.413,1.072,376.205,103.777,1096.467,1.072,2.000
198.578,73.995,-59.018,3700.310,7.397,8.859,31.684,0.140,0.004,0.342,324.598,1.072,1080.877,1.072,375.875,103.745,1095.957,1.072,2.000
198.579,74.001,-59.019,3701.073,7.400,8.865,31.679,0.153,0.003,0.351,324.317,1.071,1079.972,1.071,375.529,103.664,1095.083,1.071,2.000
198.581,74.008,-59.021,3701.829,7.395,8.864,31.643,0.154,-0.096,0.349,324.157,1.070,1079.906,1.071,375.246,103.585,1095.052,1.071,2.000
198.582,74.015,-59.022,3702.594,7.353,8.811,31.532,0.144,-0.039,0.305,324.309,1.069,1078.037,1.069,375.170,103.431,1093.223,1.069,2.000
198.583,74.022,-59.023,3703.364,7.296,8.758,31.398,0.141,0.038,0.348,324.876,1.068,1076.865,1.068,375.508,103.393,1092.100,1.068,2.000
198.585,74.029,-59.024,3704.135,7.232,8.693,31.260,0.126,0.009,0.346,325.703,1.068,1077.317,1.068,376.128,103.401,1092.607,1.068,2.000
198.586,74.036,-59.026,3704.909,7.204,8.674,31.148,0.126,0.036,0.320,326.134,1.068,1077.029,1.068,376.336,103.409,1092.380,1.068,2.000
198.588,74.043,-59.027,3705.683,7.194,8.666,31.068,0.125,0.077,0.324,326.521,1.069,1077.131,1.068,376.597,103.461,1092.548,1.068,2.000
198.589,74.050,-59.029,3706.457,7.188,8.676,31.013,0.125,-0.084,0.310,326.672,1.069,1078.532,1.070,376.625,103.495,1094.023,1.070,2.000
198.590,74.057,-59.030,3707.228,7.188,8.667,30.979,0.145,-0.009,0.281,326.766,1.069,1077.934,1.069,376.650,103.479,1093.503,1.069,2.000
198.592,74.063,-59.031,3707.933,7.192,8.667,30.958,0.127,0.054,0.274,326.803,1.069,1077.444,1.068,376.639,103.477,1093.099,1.068,2.000
198.593,74.067,-59.038,3708.402,7.196,8.687,30.947,0.112,-0.020,0.258,326.805,1.069,1078.137,1.069,376.609,103.515,1093.889,1.069,2.000
198.594,74.070,-59.041,3708.734,7.200,8.683,30.938,0.108,0.028,0.299,326.900,1.069,1078.081,1.069,376.681,103.528,1093.935,1.069,2.000
198.596,74.071,-59.039,3708.874,7.202,8.682,30.933,NaN,0.097,0.338,327.042,1.070,1077.969,1.069,376.844,103.572,1093.931,1.069,2.000
198.597,74.072,-59.037,3708.968,7.206,8.693,30.930,NaN,0.041,0.333,326.994,1.070,1078.402,1.069,376.773,103.579,1094.479,1.069,2.000
198.599,74.072,-59.037,3709.005,7.206,8.690,30.931,NaN,0.087,0.364,326.871,1.069,1077.597,1.068,376.633,103.533,1093.793,1.068,2.000
198.600,74.072,-59.037,3709.033,7.181,8.650,30.955,0.835,0.227,0.436,327.100,1.069,1076.660,1.067,376.977,103.526,1092.980,1.067,2.000
198.601,74.072,-59.038,3709.058,6.930,8.365,31.128,1.054,0.815,1.196,330.909,1.077,1079.213,1.068,382.287,104.243,1095.661,1.068,2.000
198.603,74.072,-59.038,3709.070,6.680,8.272,31.232,1.205,0.764,1.206,332.577,1.077,1079.574,1.069,384.599,104.639,1096.157,1.069,2.000
198.604,74.072,-59.038,3709.075,6.631,8.180,31.258,NaN,1.187,1.507,333.905,1.080,1079.202,1.067,386.306,104.869,1095.909,1.067,2.000
198.606,74.073,-59.038,3709.089,6.289,7.817,31.390,1.528,1.834,2.078,338.403,1.087,1080.581,1.067,392.343,105.541,1097.406,1.067,2.000
198.607,74.073,-59.038,3709.106,6.169,7.739,31.418,1.608,1.990,2.267,340.228,1.090,1082.313,1.069,394.602,105.954,1099.247,1.069,2.000
198.608,74.073,-59.038,3709.110,6.096,7.635,31.475,1.696,2.323,2.571,341.803,1.093,1083.086,1.069,396.672,106.244,1100.116,1.069,2.000
198.610,74.073,-59.038,3709.122,5.870,7.454,31.606,1.827,2.693,2.765,344.168,1.096,1082.628,1.068,400.027,106.657,1099.747,1.068,2.000
198.611,74.073,-59.039,3709.139,5.635,7.252,31.673,1.900,2.911,3.249,347.932,1.102,1087.224,1.071,404.791,107.404,1104.424,1.071,2.000
198.613,74.073,-59.039,3709.159,5.645,7.238,31.657,1.997,2.983,3.301,348.330,1.104,1088.033,1.072,405.276,107.491,1105.299,1.072,2.000
198.614,74.073,-59.039,3709.179,5.673,7.239,31.667,2.104,3.022,3.291,348.333,1.105,1088.526,1.072,405.267,107.496,1105.851,1.072,2.000
198.615,74.073,-59.039,3709.193,5.660,7.284,31.693,2.087,2.642,3.131,348.028,1.104,1090.708,1.075,404.915,107.531,1108.088,1.075,2.000
198.617,74.074,-59.039,3709.208,5.660,7.250,31.686,2.001,2.756,3.176,348.433,1.105,1090.962,1.075,405.344,107.557,1108.390,1.075,2.000
198.618,74.073,-59.039,3709.219,5.636,7.199,31.671,1.938,3.009,3.348,349.384,1.107,1091.079,1.075,406.499,107.729,1108.552,1.075,2.000
198.619,74.073,-59.039,3709.224,5.386,7.006,31.739,1.752,3.149,3.539,351.978,1.109,1092.048,1.076,409.950,108.113,1109.560,1.076,2.000
198.621,74.074,-59.039,3709.231,5.327,6.995,31.707,1.510,3.111,3.479,352.391,1.109,1091.885,1.075,410.321,108.188,1109.425,1.075,2.000
198.622,74.074,-59.039,3709.249,5.508,7.130,31.651,1.125,2.866,3.235,350.281,1.107,1091.667,1.076,407.538,107.816,1109.217,1.076,2.000
198.624,74.074,-59.040,3709.286,5.564,7.164,31.627,0.849,2.615,3.019,349.358,1.105,1092.184,1.077,406.316,107.586,1109.729,1.077,2.000
198.625,74.074,-59.040,3709.339,5.682,7.263,31.571,0.620,2.425,2.752,347.922,1.103,1091.938,1.077,404.390,107.340,1109.467,1.077,2.000
198.626,74.075,-59.040,3709.435,5.861,7.446,31.504,0.471,1.985,2.372,345.323,1.099,1091.594,1.078,401.005,106.918,1109.095,1.078,2.000
198.628,74.076,-59.036,3709.605,6.145,7.741,31.369,0.366,1.265,1.754,341.232,1.092,1091.038,1.079,395.632,106.236,1108.499,1.079,2.000
198.629,74.074,-59.033,3709.859,6.438,7.979,31.246,0.326,0.866,1.352,337.868,1.088,1090.221,1.079,391.147,105.642,1107.630,1.079,2.000
198.631,74.070,-59.033,3710.287,6.666,8.202,31.154,NaN,0.439,0.851,334.647,1.083,1088.514,1.078,386.934,105.071,1105.865,1.078,2.000
198.632,74.068,-59.033,3710.506,6.825,8.359,31.088,1.127,0.132,0.439,332.195,1.078,1086.647,1.077,383.724,104.604,1103.931,1.077,2.000
198.633,74.068,-59.034,3710.532,6.931,8.431,31.042,1.497,0.115,0.556,331.067,1.077,1085.404,1.076,382.175,104.374,1102.622,1.076,2.000
198.635,74.068,-59.035,3710.554,6.941,8.392,31.060,1.713,0.470,0.829,331.178,1.078,1082.988,1.073,382.366,104.329,1100.145,1.073,2.000
198.636,74.068,-59.035,3710.563,6.331,7.740,31.329,1.820,2.038,1.917,338.642,1.089,1080.263,1.067,392.731,105.367,1097.363,1.067,2.000
198.637,74.068,-59.035,3710.570,5.926,7.429,31.436,NaN,2.388,2.597,343.683,1.095,1083.904,1.070,399.347,106.325,1100.956,1.070,2.000
198.639,74.068,-59.035,3710.573,5.698,7.221,31.500,NaN,2.675,3.001,346.636,1.099,1085.480,1.070,403.097,106.796,1102.483,1.070,2.000
198.640,74.068,-59.035,3710.591,5.624,7.130,31.553,NaN,2.899,3.267,348.063,1.102,1086.556,1.071,404.923,107.062,1103.508,1.071,2.000
198.642,74.068,-59.035,3710.595,5.408,6.999,31.653,0.822,2.781,3.357,349.914,1.103,1088.550,1.073,407.423,107.388,1105.450,1.073,2.000
198.643,74.069,-59.035,3710.710,5.286,6.889,31.685,0.628,2.952,3.487,351.513,1.105,1089.189,1.074,409.510,107.661,1106.026,1.074,2.000
198.644,74.074,-59.039,3711.235,5.484,7.132,31.559,0.503,2.288,2.865,349.169,1.102,1091.805,1.078,406.116,107.406,1108.568,1.078,2.000
198.646,74.080,-59.048,3711.990,5.912,7.542,31.382,0.409,1.472,1.786,344.117,1.096,1092.612,1.080,399.405,106.683,1109.287,1.080,2.000
198.647,74.087,-59.057,3712.771,6.271,7.852,31.248,0.357,0.983,1.323,339.879,1.091,1091.507,1.080,393.787,105.985,1108.082,1.080,2.000
198.649,74.094,-59.066,3713.561,6.542,8.118,31.159,0.304,0.371,0.763,336.091,1.085,1090.768,1.081,388.846,105.343,1107.236,1.081,2.000
198.650,74.100,-59.075,3714.344,6.747,8.276,31.092,0.294,0.282,0.547,333.840,1.083,1088.890,1.080,385.852,104.945,1105.249,1.080,2.000
198.651,74.107,-59.084,3715.127,6.903,8.421,31.055,0.279,0.011,0.309,331.915,1.080,1088.583,1.080,383.284,104.632,1104.838,1.080,2.000
198.653,74.113,-59.093,3715.908,7.017,8.532,31.057,0.297,-0.168,0.130,330.443,1.078,1088.162,1.080,381.434,104.418,1104.318,1.080,2.000
198.654,74.120,-59.102,3716.689,7.126,8.629,31.086,0.285,-0.325,-0.012,329.202,1.077,1088.369,1.080,379.957,104.266,1104.429,1.080,2.000
198.656,74.127,-59.111,3717.478,7.230,8.723,31.140,0.260,-0.334,-0.017,328.357,1.077,1088.644,1.081,379.008,104.250,1104.613,1.081,2.000
198.657,74.133,-59.119,3718.270,7.322,8.812,31.206,0.224,-0.358,-0.038,327.497,1.077,1088.775,1.081,378.097,104.227,1104.658,1.081,2.000
198.658,74.140,-59.128,3719.063,7.395,8.893,31.281,0.208,-0.346,-0.144,326.595,1.076,1087.987,1.080,377.171,104.186,1103.791,1.080,2.000
198.660,74.147,-59.137,3719.860,7.479,8.964,31.371,0.198,-0.380,-0.086,326.058,1.077,1089.253,1.081,376.724,104.232,1104.979,1.081,2.000
198.661,74.153,-59.146,3720.642,7.637,9.143,31.477,0.215,-0.537,-0.129,324.437,1.077,1089.900,1.083,374.981,104.197,1105.551,1.083,2.000
198.662,74.160,-59.155,3721.425,7.840,9.370,31.588,0.234,-0.771,-0.299,322.094,1.075,1089.875,1.083,372.379,104.032,1105.452,1.083,2.000
198.664,74.167,-59.164,3722.208,8.049,9.525,31.698,0.260,-0.774,-0.287,320.276,1.075,1089.652,1.083,370.419,103.868,1105.152,1.083,2.000
198.665,74.173,-59.174,3722.998,8.222,9.694,31.795,0.271,-0.893,-0.422,318.341,1.073,1089.005,1.083,368.280,103.684,1104.428,1.083,2.000
198.667,74.180,-59.183,3723.786,8.346,9.832,31.879,0.253,-0.890,-0.587,316.716,1.071,1086.981,1.080,366.485,103.518,1102.326,1.080,2.000
198.668,74.186,-59.192,3724.578,8.428,9.889,31.956,0.240,-0.788,-0.473,315.996,1.071,1086.118,1.080,365.787,103.465,1101.388,1.080,2.000
198.669,74.193,-59.201,3725.373,8.443,9.869,32.025,0.227,-0.543,-0.303,316.030,1.072,1084.897,1.078,366.008,103.479,1100.099,1.078,2.000
198.671,74.200,-59.211,3726.158,8.364,9.779,32.064,0.227,-0.261,-0.115,316.794,1.073,1083.363,1.076,367.076,103.560,1098.505,1.076,2.000
198.672,74.206,-59.220,3726.948,8.166,9.635,32.063,0.217,-0.260,-0.015,318.224,1.073,1083.406,1.076,368.877,103.710,1098.502,1.076,2.000
198.674,74.213,-59.229,3727.736,7.988,9.421,32.054,0.203,0.052,0.360,320.395,1.076,1083.666,1.075,371.560,103.932,1098.727,1.075,2.000
198.675,74.220,-59.238,3728.530,7.854,9.303,32.043,0.201,0.196,0.435,321.763,1.077,1083.694,1.075,373.220,104.105,1098.734,1.075,1.000
198.676,74.226,-59.246,3729.321,7.813,9.287,32.033,0.192,0.158,0.469,322.368,1.078,1085.006,1.076,373.922,104.264,1100.037,1.076,1.000
198.678,74.233,-59.255,3730.117,7.812,9.296,32.029,0.179,0.107,0.493,322.601,1.079,1086.222,1.078,374.164,104.361,1101.249,1.078,1.000
198.679,74.240,-59.264,3730.908,7.840,9.325,31.985,NaN,0.119,0.436,322.408,1.079,1085.840,1.077,373.810,104.331,1100.868,1.077,1.000
198.681,74.246,-59.273,3731.692,7.867,9.358,31.928,NaN,-0.027,0.272,322.015,1.077,1086.033,1.078,373.144,104.229,1101.064,1.078,1.000
198.682,74.253,-59.282,3732.474,7.916,9.414,31.882,NaN,-0.250,0.154,321.365,1.076,1086.674,1.079,372.229,104.112,1101.709,1.079,1.000
198.683,74.260,-59.291,3733.257,7.985,9.483,31.852,0.261,-0.239,0.071,320.602,1.075,1085.456,1.078,371.202,103.995,1100.494,1.078,1.000
198.685,74.267,-59.296,3734.035,8.034,9.527,31.829,0.295,-0.231,0.038,320.186,1.075,1084.988,1.077,370.619,103.941,1100.030,1.077,1.000
198.686,74.273,-59.300,3734.810,8.074,9.583,31.816,0.343,-0.382,-0.052,319.607,1.074,1085.242,1.078,369.846,103.864,1100.287,1.078,1.000
198.688,74.280,-59.306,3735.590,8.123,9.617,31.822,0.377,-0.352,-0.038,319.275,1.074,1085.105,1.078,369.451,103.836,1100.152,1.078,1.000
198.689,74.287,-59.312,3736.366,8.179,9.677,31.851,0.410,-0.356,-0.053,318.701,1.074,1084.728,1.077,368.810,103.803,1099.777,1.077,1.000
198.690,74.294,-59.319,3737.135,8.267,9.765,31.912,0.429,-0.539,-0.103,317.737,1.073,1085.655,1.079,367.779,103.729,1100.706,1.079,1.000
198.692,74.300,-59.326,3737.911,8.379,9.870,32.010,0.464,-0.558,-0.153,316.455,1.072,1084.833,1.078,366.456,103.612,1099.886,1.078,1.000
198.693,74.307,-59.333,3738.683,8.447,9.932,32.114,0.485,-0.436,-0.140,315.774,1.072,1083.782,1.077,365.869,103.595,1098.839,1.077,1.000
198.694,74.314,-59.340,3739.462,8.435,9.926,32.188,0.450,-0.394,-0.073,315.835,1.072,1083.845,1.077,366.155,103.665,1098.905,1.077,1.000
198.696,74.320,-59.348,3740.231,8.441,9.927,32.238,0.410,-0.277,0.030,316.032,1.074,1084.006,1.077,366.491,103.767,1099.068,1.077,1.000
198.697,74.327,-59.355,3741.001,8.465,9.954,32.261,0.381,-0.196,0.048,315.874,1.074,1083.500,1.076,366.365,103.793,1098.563,1.076,1.000
198.699,74.334,-59.362,3741.771,8.485,9.980,32.273,0.368,-0.217,0.038,315.651,1.074,1083.464,1.076,366.112,103.786,1098.528,1.076,1.000
198.700,74.340,-59.369,3742.531,8.487,9.977,32.272,0.370,-0.252,0.057,315.753,1.074,1084.181,1.077,366.257,103.817,1099.241,1.077,1.000
198.701,74.347,-59.376,3743.298,8.517,10.012,32.270,0.374,-0.181,0.140,315.755,1.075,1084.303,1.077,366.207,103.892,1099.355,1.077,1.000
198.703,74.354,-59.384,3744.060,8.553,10.050,32.265,0.383,-0.188,0.163,315.514,1.075,1084.365,1.077,365.890,103.894,1099.408,1.077,1.000
198.704,74.360,-59.391,3744.828,8.565,10.053,32.258,0.381,-0.186,0.161,315.241,1.074,1083.621,1.076,365.542,103.804,1098.651,1.076,1.000
198.706,74.367,-59.398,3745.593,8.570,10.055,32.253,0.371,-0.223,0.107,314.919,1.073,1082.891,1.076,365.145,103.696,1097.907,1.076,1.000
